company_name,url,postal_code,address,city,province,phone,email,naics_code,naics_description,size,membership,type_organization,data_source
Sealand Freezers (Atlantic) Limited,,,,,Prince Edward Island,(902) 576-5888,bruce@sealandgroup.ca,,,,,,FBA Original
Shediac Lobster Shop Ltd,,E4P 2A6,261 Main St,Shediac,New Brunswick,506-532-4302,gmaillet@nbnet.nb.ca,,,,,,FBA Original
Shivani's Kitchen,https://shivaniskitchen.ca,B3H 4P8,1209 Marginal Rd Unit 110A,Halifax,Nova Scotia,1-902-482-7714,abhi@shivaniskitchen.ca,,,,,,FBA Original
Signode,www.signode.ca,L3R5B3,241 Gough Road,Markham,Ontario,506-343-6756,dkeddy@signode.com,,,,,,FBA Original
SK Export,,E8B 1A2,7375 Highway 17,Kedgwick,New Brunswick,,entsk@nb.aibn.com,,,,,,FBA Original
SKUFood,www.skufood.com,B3Z 2E8,148 Glenwood Dr,Head Of St Margarets Bay,Nova Scotia,902 489-2900,peter@skufood.com,,,,,,FBA Original
South Ridge Maple Company Limited,,E7L 2H3,99 Curtis Road,Florenceville-Bristol,New Brunswick,506 391 5254,southridgemaple@gmail.com,,,,,,FBA Original
South Shore Trading Co. Ltd.,www.sstceels.com,E4M3Y9,PO Box 1545,Port Elgin,New Brunswick,506-538-9000,sstcaf@yahoo.ca,,,,,,FBA Original
Springbrook Cranberry Inc.,www.springbrookcranberry.ca,E5L1L3,91 Rankine Road,Tracy,New Brunswick,5063682342,springbrookcranberry@gmail.com,,,,,,FBA Original
Summerside Seafood Supreme,,C1N 2V5,Queens Wharf,Summerside,Prince Edward Island,902-436-9892,lbungay@sssupreme.ca,,,,,,FBA Original
Suncoast Seafood,,E4R 4H7,87 Chemin du Quai,Grande-Digue,New Brunswick,506-576-6684,tgarland@suncoastseafood.com,,,,,,FBA Original
Sunrise Foods Inc.,snaks.com,B3B 1R6,108a Trider cres,Dartmouth,Nova Scotia,9028308058,ksams@snaks.com,,,,,,FBA Original
Telus Business Solutions,https://www.telus.com/en/nb/business?linktype=nav,E1G 2H7,125 Trinity Drive Unit 10,Moncton,New Brunswick,506-962-1658,andrew.benson1@telus.com,,,,,,FBA Original
Terra Beata Farms,,B0J 2C0,161 Monk Point Rd,Lunenburg,Nova Scotia,1-902-634-4435,david@cranberryfarm.ca,,,,,,FBA Original
The Market Family,,A1C2G1,30 Harvey Road,St. John's,Newfoundland,,manager@themarketfamily.ca,,,,,,FBA Original
Tony's Meats,,B2G 2L2,475 Landing Road,Antigonish,Nova Scotia,902-870-1158,aaron@tonys-meats.com,,,,,,FBA Original
Trésors & Délices,Trésorsetdelices.com,E3Z2K2,264 Blvd Broadway,Grand Falls,New Brunswick,5064731633,Nanda.yagambrum@gmail.com,,,,,,FBA Original
True North Salmon Limited Partnership,,E5H 1K1,669 Main Street,Blacks Harbour,New Brunswick,,sandy.amirault@cookeaqua.com,,,,,,FBA Original
Valley Flaxflour Ltd,www.flaxflour.com,B0S1P0,188 Marshall Street,Middleton,Nova Scotia,902-824-1258,howards@flaxflour.com,,,,,,FBA Original
Van Dyk's Health Juice Products Ltd.,www.vandykblueberries.ca,B0T 1B0,696 West Caledonia Road,Caledonia,Nova Scotia,902-542-4405,rmacdonald@vandykblueberries.ca,,,,,,FBA Original
Verger Belliveau Orchard Ltd.,www.vergerbelliveauorchard.ca,E4K 2S6,"1209 rue Principale,","Memramcook,",New Brunswick,506-758-2325,robert@vergerbelliveauorchard.ca,,,,,,FBA Original
Victoria Co-operative Fisheries Limited,www.victoriafish.com,B0C 1N0,"P.O. Box 38, 247 New Haven Rd,",Neil's Harbour,Nova Scotia,+1(902)336-2541,mmacintosh@victoriafish.com,,,,,,FBA Original
Westmorland Fisheries,,E4N 1V3,64 Gautreau Street,Cap-Pelé,New Brunswick,,russel.jacob@rogers.com,,,,,,FBA Original
Whitecap International Seafood,,A1A 4Y3,"64 Airport Rd, Unit 2",St. John's,Newfoundland,709-739-6668,droche@whitecapseafoods.com,,,,,,FBA Original
Wild Blueberry Producers Association of Nova Scotia,,B0M 1G0,168 Dakota Rd,Debert,Nova Scotia,902-662-3306,Peter@nswildblueberries.com,,,,,,FBA Original
Wolfhead Smokers,,E5V 1G1,420 Rd 172,Letang,New Brunswick,506-755-1203,matt@wolfheadsmokers.com,,,,,,FBA Original
Young's Lobster Co. Ltd.,,E5V 1G1,40 Lord's Cove Rd,Lord's Cove,New Brunswick,506-747-1999,sheena@youngslobster.com,,,,,,FBA Original
YRU Cooking,,E4S 1T8,11 Industrial Street,Bouctouche,New Brunswick,,yrucooking@nb.aibn.com,,,,,,FBA Original
